customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,customer_loyalty_flag,latitude,longitude,typical_hour_sin,typical_hour_cos,tenure,total_children,lifetime_spend_technology,log_total_spend,annual_spend_groceries,annual_spend_electronics,annual_spend_vegetables,annual_spend_nonalcohol_drinks,annual_spend_alcohol_drinks,annual_spend_meat,annual_spend_fish,annual_spend_hygiene,annual_spend_videogames,annual_spend_petfood,annual_spend_technology
3,Bsc. Crystal Kitchens,female,1970-02-12 13:36:00,1.0,1.0,1.0,3.0,11731.0,4553.0,373.0,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,1.0,38.79442787189893,-9.21573941941328,0.15176380902050418,-0.4063504150165532,6.0,2.0,4809.0,10.060491301345794,1955.1666666666667,750.3443181818182,62.166666666666664,53.833333333333336,29.5,4.666666666666667,35.5,92.0,42.666666666666664,64.0,801.5
4,Bsc. Glenda Bauman,female,1975-11-13 18:58:00,1.0,0.0,0.0,2.0,13694.0,963.0000000000002,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.14989024933951428,1.0,38.75171109471023,-9.17961146619482,0.05176380902050433,-0.9395953267715892,13.0,1.0,1296.0000000000002,9.97720259035841,1053.3846153846155,74.0769230769231,154.76923076923077,41.0,7.3076923076923075,3.3076923076923075,1.1538461538461537,144.6153846153846,25.615384615384617,51.15384615384615,99.69230769230771
5,Msc. Antonio Campbell,male,1971-09-10 10:07:00,0.0,0.0,0.0,2.0,12407.0,0.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,0.0,38.7806775225494,-9.16065569234224,0.2588190451025211,-0.9659258262890682,21.0,0.0,101.0,9.658290091690503,590.8095238095239,0.0,26.428571428571427,4.809523809523809,5.619047619047619,60.23809523809524,13.0,24.142857142857142,4.809523809523809,10.571428571428571,4.809523809523809
7,John Kelling,male,1982-10-23 11:20:00,0.0,0.0,2.0,1.0,7493.0,1105.0,84.0,757.0,1133.0,972.0,1083.0,485.0,749.625,184.0,92.0,0.253609260797035,1.0,38.7395484361888,-9.14867873262084,-1.0,-1.6653345369377348e-16,5.0,0.0,2761.0,9.782110566369528,1498.6,221.0,16.8,122.13988095238095,206.58092948717945,194.4,194.56125000000003,97.0,79.77777777777777,36.8,552.2
8,Arthur Dematteo,male,1969-08-04 22:22:00,0.0,0.0,2.5,1.0,9187.0,8489.0,380.00000000000006,592.0,718.0,1068.0,1015.0,297.0,749.625,441.0,6.0,0.1865687348395157,1.0,38.733071481512525,-9.18818784180837,-0.9659258262890683,-0.25881904510252063,5.0,0.0,9266.0,10.542627232264719,1837.4,750.3443181818182,76.00000000000001,118.4,143.6,201.07774725274726,194.56125000000003,59.4,79.77777777777777,83.64285714285714,817.3946428571428
9,Msc. Nadine Garcia,female,1968-10-09 04:01:00,1.0,1.0,1.0,6.0,16530.0,1156.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,277.2,84.0,0.1506456602849799,1.0,38.73557687527516,-9.172423167155566,1.0,5.551115123125783e-17,15.0,2.0,1381.0,10.028497742616969,1102.0,77.06666666666666,113.86666666666666,27.066666666666666,24.2,1.8,5.066666666666666,34.2,15.0,18.48,92.06666666666666
10,Phd. Franklin Alba,male,1971-06-09 05:08:00,2.0,1.0,0.0,1.0,22240.0,5699.0,1284.0,538.0,1925.175,1397.0,1723.0,886.0,203.0,119.0,202.0,0.2754122773297123,1.0,38.73032247703208,-9.144022385203078,0.7071067811865476,-0.7071067811865475,12.0,3.0,5902.0,10.644519725816647,1853.3333333333333,474.9166666666667,107.0,44.833333333333336,164.16666666666666,116.41666666666667,143.58333333333334,73.83333333333333,16.916666666666668,9.916666666666666,491.8333333333333
11,Bsc. Robert Hansing,male,1977-07-19 10:22:00,1.0,1.0,1.0,6.0,29765.0,1543.0,190.0,411.0,641.0,871.0,731.0,1240.0,749.625,397.0,180.0,0.1642509924715683,1.0,38.739327834608034,-9.224917499943274,0.49999999999999994,-0.8660254037844387,9.0,2.0,3392.0,10.62208315754966,3307.222222222222,171.44444444444446,21.11111111111111,45.666666666666664,71.22222222222223,96.77777777777777,81.22222222222223,137.77777777777777,79.77777777777777,44.111111111111114,376.8888888888889
12,Phd. Dorothy Pacheco,female,2000-05-19 03:02:00,0.0,0.0,0.0,2.0,9281.0,254.0,125.0,60.0,1549.0,139.0,598.0,673.0,71.0,64.0,29.0,0.6688514076115653,0.0,38.74861570702996,-9.167756169633098,-1.0,-1.6653345369377348e-16,8.0,0.0,325.0,9.483416292038601,1160.125,31.75,15.625,7.5,193.625,17.375,74.75,84.125,8.875,8.0,40.625
14,Msc. Arron Burgener,male,1948-11-28 19:53:00,1.0,0.0,1.0,3.0,7981.0,2151.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.0,57.0,0.1973528031772604,1.0,38.78881949407391,-9.184157680069834,1.249000902703301e-16,-1.0,9.0,1.0,2329.0,9.733766277717912,886.7777777777778,239.0,184.33333333333334,88.77777777777777,13.88888888888889,16.444444444444443,2.6666666666666665,154.77777777777777,19.77777777777778,10.0,258.77777777777777
15,Bsc. Henry Thompson,male,1949-01-08 08:44:00,0.0,1.0,0.0,3.0,7237.0,591.0,1807.0,507.0,42.0,304.0,176.0,2253.0,153.0,441.0,154.0,0.1113161982340499,1.0,38.760359275134725,-9.088422920127655,0.9659258262890683,-0.25881904510252063,12.0,1.0,744.0,9.569063217532216,603.0833333333334,49.25,150.58333333333334,42.25,3.5,25.333333333333332,14.666666666666666,192.66666666666666,12.75,36.75,62.0
16,Bsc. Charlene Baird,female,2000-10-27 18:38:00,0.0,0.0,1.0,7.0,11107.0,108.0,620.0,162.0,182.0,1094.0,487.0,607.0,89.0,683.0,37.0,1.0,1.0,38.78541245732896,-9.152032204165351,-0.707106781186547,-0.7071067811865479,5.0,0.0,197.0,9.638023488650779,2221.4,21.6,124.0,32.4,36.4,201.07774725274726,97.4,121.4,17.8,83.64285714285714,39.4
